,Wq,Lq,rho,throughput
reg1,0.057,0.217,0.372,3.828
reg2,0.038,0.111,0.288,2.908
exam1,0.273,1.045,0.636,3.828
exam2,0.164,0.478,0.499,2.908
consult1,1.468,4.781,0.818,3.248
consult2,0.536,1.867,0.776,3.454
pharma1,0.032,0.103,0.28,3.248
pharma2,0.056,0.192,0.336,3.454
