,Wq,Lq,rho,throughput
reg1,0.07,0.282,0.407,4.032
reg2,0.043,0.131,0.305,3.019
exam1,0.363,1.462,0.675,4.032
exam2,0.171,0.515,0.501,3.019
consult1,0.136,0.482,0.589,3.551
consult2,0.378,1.321,0.7,3.5
pharma1,0.034,0.121,0.296,3.551
pharma2,0.054,0.19,0.352,3.5
