,Wq,Lq,rho,throughput
reg1,0.07,0.276,0.391,3.954
reg2,0.042,0.125,0.31,3.004
exam1,0.312,1.235,0.657,3.954
exam2,0.156,0.47,0.485,3.0
consult1,1.201,4.24,0.859,3.518
consult2,0.571,1.954,0.761,3.41
pharma1,0.033,0.117,0.283,3.518
pharma2,0.043,0.146,0.33,3.408
