,Wq,Lq,rho,throughput
reg,0.012,0.079,0.338,6.836
exam1,0.294,1.169,0.692,3.972
exam2,0.168,0.479,0.485,2.856
consult1,1.245,4.255,0.882,3.414
consult2,0.674,2.294,0.78,3.402
pharma1,0.036,0.123,0.277,3.414
pharma2,0.065,0.219,0.354,3.402
