,Wq,Lq,rho,throughput
reg,0.013,0.09,0.35,7.056
exam1,0.503,2.038,0.71,4.046
exam2,0.135,0.406,0.494,3.004
consult1,1.76,6.311,0.901,3.582
consult2,0.652,2.26,0.798,3.46
pharma1,0.037,0.133,0.31,3.582
pharma2,0.059,0.203,0.363,3.46
