,Wq,Lq,rho,throughput
reg,0.013,0.087,0.334,6.796
exam1,0.272,1.065,0.646,3.9
exam2,0.139,0.402,0.47,2.884
consult1,0.969,3.363,0.861,3.452
consult2,0.682,2.276,0.783,3.292
pharma1,0.033,0.114,0.279,3.452
pharma2,0.044,0.146,0.326,3.292
