,Wq,Lq,rho,throughput
reg1,0.067,0.26,0.396,3.906
reg2,0.043,0.129,0.316,3.0
exam1,0.348,1.36,0.673,3.904
exam2,0.171,0.521,0.517,2.99
consult1,1.001,3.489,0.839,3.48
consult2,0.336,1.145,0.677,3.406
pharma1,0.033,0.113,0.289,3.476
pharma2,0.047,0.161,0.34,3.406
