,Wq,Lq,rho,throughput
reg1,0.063,0.254,0.405,4.016
reg2,0.038,0.114,0.289,2.982
exam1,0.351,1.411,0.658,4.014
exam2,0.162,0.483,0.482,2.982
consult1,1.101,3.782,0.841,3.432
consult2,0.542,1.931,0.696,3.552
pharma1,0.028,0.095,0.276,3.432
pharma2,0.059,0.21,0.357,3.552
