,Wq,Lq,rho,throughput
reg1,0.069,0.268,0.398,3.864
reg2,0.04,0.113,0.293,2.864
exam1,0.348,1.346,0.656,3.864
exam2,0.113,0.323,0.444,2.862
consult1,1.218,4.098,0.82,3.308
consult2,0.549,1.862,0.746,3.386
pharma1,0.028,0.091,0.273,3.308
pharma2,0.046,0.155,0.332,3.384
