,Wq,Lq,rho,throughput
reg1,0.068,0.271,0.402,4.0
reg2,0.041,0.125,0.301,3.012
exam1,0.333,1.331,0.671,4.0
exam2,0.166,0.5,0.501,3.012
consult1,2.075,7.217,0.878,3.477
consult2,0.883,3.122,0.806,3.533
pharma1,0.033,0.115,0.29,3.477
pharma2,0.055,0.194,0.354,3.533
