,Wq,Lq,rho,throughput
reg1,0.062,0.247,0.403,3.969
reg2,0.044,0.132,0.297,2.962
exam1,0.284,1.127,0.658,3.961
exam2,0.164,0.487,0.509,2.962
consult1,1.171,4.035,0.846,3.438
consult2,0.748,2.597,0.79,3.471
pharma1,0.034,0.116,0.282,3.437
pharma2,0.06,0.21,0.347,3.471
