,Wq,Lq,rho,throughput
reg,0.014,0.098,0.351,7.014
exam1,0.318,1.274,0.666,4.001
exam2,0.167,0.503,0.503,3.013
consult1,1.774,6.24,0.884,3.518
consult2,0.746,2.606,0.792,3.495
pharma1,0.035,0.124,0.295,3.518
pharma2,0.053,0.184,0.348,3.495
