,Wq,Lq,rho,throughput
reg1,0.071,0.287,0.402,4.057
reg2,0.045,0.138,0.304,3.094
exam1,0.33,1.339,0.677,4.053
exam2,0.192,0.593,0.527,3.094
consult1,1.718,6.171,0.868,3.584
consult2,1.356,4.822,0.834,3.554
pharma1,0.039,0.141,0.304,3.583
pharma2,0.058,0.206,0.355,3.553
