,Wq,Lq,rho,throughput
reg1,0.05,0.198,0.38,3.944
reg2,0.04,0.12,0.291,2.956
exam1,0.306,1.207,0.652,3.934
exam2,0.148,0.436,0.492,2.95
consult1,1.687,5.714,0.873,3.376
consult2,0.603,2.105,0.769,3.488
pharma1,0.032,0.109,0.281,3.376
pharma2,0.05,0.175,0.34,3.488
