,Wq,Lq,rho,throughput
reg,0.016,0.11,0.357,7.012
exam1,0.393,1.565,0.681,3.986
exam2,0.18,0.545,0.499,3.023
consult1,1.078,3.819,0.853,3.542
consult2,0.747,2.589,0.778,3.465
pharma1,0.037,0.132,0.299,3.542
pharma2,0.054,0.186,0.357,3.464
