,Wq,Lq,rho,throughput
reg1,0.055,0.216,0.372,3.928
reg2,0.047,0.141,0.309,2.998
exam1,0.319,1.253,0.642,3.926
exam2,0.166,0.498,0.487,2.998
consult1,1.47,4.985,0.837,3.386
consult2,0.971,3.425,0.797,3.524
pharma1,0.032,0.11,0.287,3.386
pharma2,0.058,0.206,0.359,3.522
