,Wq,Lq,rho,throughput
reg,0.019,0.133,0.353,7.088
exam1,0.308,1.239,0.646,3.997
exam2,0.173,0.533,0.523,3.078
consult1,2.086,7.501,0.902,3.578
consult2,0.729,2.537,0.807,3.477
pharma1,0.035,0.124,0.294,3.578
pharma2,0.057,0.198,0.351,3.477
