,Wq,Lq,rho,throughput
reg1,0.072,0.29,0.401,4.038
reg2,0.056,0.176,0.317,3.158
exam1,0.347,1.399,0.686,4.038
exam2,0.188,0.595,0.527,3.156
consult1,1.724,6.072,0.882,3.512
consult2,1.09,3.989,0.834,3.654
pharma1,0.038,0.135,0.286,3.512
pharma2,0.064,0.234,0.363,3.654
