,Wq,Lq,rho,throughput
reg,0.015,0.109,0.357,7.048
exam1,0.395,1.617,0.708,4.096
exam2,0.195,0.577,0.507,2.952
consult1,0.945,3.478,0.892,3.596
consult2,0.399,1.361,0.705,3.414
pharma1,0.035,0.126,0.312,3.596
pharma2,0.047,0.162,0.346,3.414
