,Wq,Lq,rho,throughput
reg,0.016,0.113,0.351,7.154
exam1,0.355,1.46,0.672,4.11
exam2,0.198,0.601,0.505,3.044
consult1,2.682,9.621,0.908,3.576
consult2,0.735,2.619,0.813,3.558
pharma1,0.032,0.115,0.292,3.576
pharma2,0.05,0.177,0.345,3.558
