,Wq,Lq,rho,throughput
reg,0.014,0.097,0.351,7.016
exam1,0.339,1.353,0.665,3.989
exam2,0.174,0.527,0.501,3.027
consult1,1.664,5.795,0.877,3.482
consult2,0.816,2.881,0.801,3.532
pharma1,0.032,0.111,0.288,3.482
pharma2,0.056,0.197,0.355,3.531
