,Wq,Lq,rho,throughput
reg1,0.066,0.26,0.393,3.956
reg2,0.04,0.117,0.292,2.906
exam1,0.354,1.4,0.662,3.946
exam2,0.176,0.513,0.51,2.896
consult1,0.935,3.195,0.828,3.412
consult2,0.321,1.098,0.679,3.416
pharma1,0.036,0.124,0.287,3.412
pharma2,0.053,0.182,0.352,3.414
