,Wq,Lq,rho,throughput
reg,0.013,0.094,0.355,7.114
exam1,0.307,1.249,0.673,4.071
exam2,0.147,0.449,0.497,3.042
consult1,2.729,9.791,0.902,3.584
consult2,0.745,2.624,0.798,3.521
pharma1,0.038,0.138,0.297,3.584
pharma2,0.064,0.225,0.362,3.52
