,Wq,Lq,rho,throughput
reg,0.017,0.118,0.358,7.064
exam1,0.434,1.75,0.713,4.036
exam2,0.193,0.583,0.51,3.028
consult1,1.474,5.457,0.903,3.552
consult2,0.426,1.469,0.753,3.44
pharma1,0.03,0.105,0.297,3.55
pharma2,0.042,0.145,0.338,3.44
