,Wq,Lq,rho,throughput
reg,0.014,0.096,0.349,7.005
exam1,0.332,1.33,0.666,4.006
exam2,0.166,0.496,0.502,2.998
consult1,1.805,6.349,0.883,3.517
consult2,0.67,2.335,0.782,3.487
pharma1,0.035,0.124,0.291,3.516
pharma2,0.052,0.181,0.346,3.487
