,Wq,Lq,rho,throughput
reg1,0.07,0.286,0.403,4.092
reg2,0.04,0.119,0.298,2.966
exam1,0.444,1.818,0.665,4.092
exam2,0.149,0.443,0.486,2.964
consult1,1.253,4.52,0.864,3.492
consult2,0.288,1.01,0.687,3.5
pharma1,0.037,0.128,0.284,3.492
pharma2,0.056,0.196,0.37,3.498
