,Wq,Lq,rho,throughput
reg1,0.061,0.24,0.396,3.936
reg2,0.033,0.096,0.287,2.906
exam1,0.325,1.279,0.666,3.934
exam2,0.19,0.554,0.492,2.892
consult1,0.961,3.246,0.87,3.374
consult2,0.787,2.712,0.798,3.448
pharma1,0.022,0.075,0.262,3.374
pharma2,0.058,0.2,0.357,3.446
