,Wq,Lq,rho,throughput
reg,0.014,0.101,0.353,7.033
exam1,0.346,1.392,0.672,4.025
exam2,0.16,0.483,0.497,3.008
consult1,1.777,6.267,0.885,3.528
consult2,0.861,3.017,0.796,3.505
pharma1,0.035,0.122,0.294,3.528
pharma2,0.054,0.188,0.349,3.505
