,Wq,Lq,rho,throughput
reg1,0.074,0.297,0.398,3.994
reg2,0.04,0.123,0.296,3.037
exam1,0.324,1.294,0.663,3.994
exam2,0.179,0.543,0.51,3.037
consult1,1.147,3.981,0.857,3.467
consult2,0.82,2.917,0.823,3.556
pharma1,0.031,0.108,0.288,3.467
pharma2,0.05,0.179,0.347,3.556
