,Wq,Lq,rho,throughput
reg1,0.066,0.267,0.402,4.039
reg2,0.044,0.132,0.302,3.019
exam1,0.343,1.384,0.674,4.039
exam2,0.173,0.522,0.506,3.019
consult1,1.645,5.787,0.875,3.518
consult2,0.855,3.026,0.806,3.539
pharma1,0.033,0.117,0.288,3.518
pharma2,0.056,0.2,0.356,3.539
