,Wq,Lq,rho,throughput
reg,0.012,0.085,0.349,7.011
exam1,0.292,1.171,0.651,4.005
exam2,0.142,0.428,0.491,3.006
consult1,1.641,5.762,0.88,3.509
consult2,0.664,2.326,0.804,3.486
pharma1,0.038,0.133,0.295,3.509
pharma2,0.055,0.192,0.353,3.486
