,Wq,Lq,rho,throughput
reg,0.013,0.094,0.349,7.052
exam1,0.401,1.6,0.677,3.984
exam2,0.152,0.465,0.494,3.062
consult1,2.645,9.601,0.937,3.628
consult2,0.339,1.156,0.669,3.412
pharma1,0.032,0.117,0.299,3.628
pharma2,0.051,0.173,0.349,3.408
