,Wq,Lq,rho,throughput
reg,0.018,0.123,0.358,6.986
exam1,0.375,1.494,0.682,3.978
exam2,0.191,0.575,0.505,3.002
consult1,1.152,4.001,0.856,3.424
consult2,0.435,1.534,0.713,3.528
pharma1,0.037,0.128,0.293,3.42
pharma2,0.055,0.194,0.37,3.526
