,Wq,Lq,rho,throughput
reg,0.015,0.105,0.357,7.086
exam1,0.409,1.655,0.696,4.046
exam2,0.149,0.452,0.507,3.038
consult1,0.076,0.279,0.473,3.66
consult2,0.037,0.127,0.377,3.422
pharma1,0.033,0.121,0.297,3.66
pharma2,0.06,0.204,0.342,3.422
