,Wq,Lq,rho,throughput
reg1,0.057,0.223,0.378,3.942
reg2,0.04,0.119,0.294,2.938
exam1,0.312,1.229,0.658,3.942
exam2,0.139,0.408,0.48,2.938
consult1,0.625,2.075,0.791,3.316
consult2,1.228,4.368,0.825,3.55
pharma1,0.031,0.103,0.278,3.316
pharma2,0.048,0.171,0.363,3.55
