,Wq,Lq,rho,throughput
reg1,0.072,0.288,0.413,4.018
reg2,0.048,0.145,0.304,3.013
exam1,0.311,1.25,0.664,4.018
exam2,0.179,0.539,0.509,3.008
consult1,1.532,5.373,0.895,3.492
consult2,1.034,3.642,0.767,3.519
pharma1,0.034,0.119,0.291,3.49
pharma2,0.046,0.162,0.354,3.514
