,Wq,Lq,rho,throughput
reg1,0.066,0.265,0.397,4.008
reg2,0.042,0.125,0.297,2.982
exam1,0.339,1.359,0.672,4.007
exam2,0.149,0.446,0.489,2.981
consult1,1.495,5.231,0.877,3.5
consult2,0.716,2.497,0.793,3.488
pharma1,0.034,0.119,0.292,3.5
pharma2,0.052,0.181,0.349,3.488
