,Wq,Lq,rho,throughput
reg1,0.053,0.204,0.376,3.81
reg2,0.052,0.164,0.335,3.16
exam1,0.3,1.143,0.646,3.81
exam2,0.177,0.558,0.523,3.16
consult1,1.532,5.22,0.862,3.398
consult2,0.469,1.669,0.784,3.552
pharma1,0.029,0.098,0.282,3.398
pharma2,0.061,0.216,0.361,3.552
