,Wq,Lq,rho,throughput
reg1,0.066,0.266,0.402,4.002
reg2,0.044,0.133,0.304,3.019
exam1,0.321,1.284,0.664,4.002
exam2,0.182,0.55,0.51,3.019
consult1,1.781,6.249,0.879,3.508
consult2,0.781,2.745,0.801,3.512
pharma1,0.035,0.124,0.294,3.508
pharma2,0.054,0.19,0.352,3.512
