,Wq,Lq,rho,throughput
reg1,0.071,0.293,0.41,4.101
reg2,0.039,0.113,0.285,2.888
exam1,0.352,1.443,0.688,4.1
exam2,0.168,0.484,0.501,2.887
consult1,1.279,4.487,0.852,3.506
consult2,0.637,2.216,0.79,3.479
pharma1,0.039,0.136,0.305,3.504
pharma2,0.058,0.203,0.348,3.479
