,Wq,Lq,rho,throughput
reg,0.014,0.095,0.353,6.914
exam1,0.277,1.096,0.638,3.962
exam2,0.159,0.469,0.502,2.952
consult1,1.342,4.481,0.866,3.338
consult2,0.562,2.009,0.747,3.564
pharma1,0.035,0.117,0.278,3.33
pharma2,0.06,0.213,0.357,3.564
