,Wq,Lq,rho,throughput
reg,0.014,0.101,0.358,7.102
exam1,0.295,1.219,0.686,4.114
exam2,0.139,0.412,0.505,2.972
consult1,1.708,5.922,0.885,3.464
consult2,0.515,1.866,0.718,3.62
pharma1,0.038,0.131,0.297,3.464
pharma2,0.055,0.199,0.356,3.62
