,Wq,Lq,rho,throughput
reg1,0.059,0.239,0.399,4.012
reg2,0.036,0.106,0.295,2.954
exam1,0.295,1.187,0.648,4.004
exam2,0.144,0.425,0.483,2.954
consult1,1.555,5.431,0.877,3.464
consult2,0.329,1.144,0.664,3.458
pharma1,0.028,0.098,0.281,3.464
pharma2,0.053,0.182,0.338,3.456
