,Wq,Lq,rho,throughput
reg1,0.066,0.269,0.401,4.082
reg2,0.038,0.112,0.285,2.962
exam1,0.548,2.234,0.685,4.078
exam2,0.174,0.516,0.479,2.962
consult1,1.518,5.436,0.894,3.576
consult2,0.334,1.155,0.681,3.452
pharma1,0.039,0.138,0.297,3.576
pharma2,0.059,0.203,0.339,3.45
