,Wq,Lq,rho,throughput
reg,0.013,0.091,0.341,6.99
exam1,0.373,1.498,0.673,4.018
exam2,0.143,0.426,0.495,2.972
consult1,1.226,4.225,0.854,3.44
consult2,0.981,3.469,0.836,3.534
pharma1,0.033,0.115,0.282,3.44
pharma2,0.057,0.201,0.35,3.534
