,Wq,Lq,rho,throughput
reg1,0.071,0.292,0.43,4.118
reg2,0.041,0.124,0.302,3.012
exam1,0.309,1.273,0.666,4.118
exam2,0.184,0.556,0.522,3.006
consult1,1.19,4.196,0.887,3.526
consult2,0.814,2.926,0.826,3.588
pharma1,0.033,0.117,0.288,3.526
pharma2,0.058,0.21,0.37,3.588
