,Wq,Lq,rho,throughput
reg,0.014,0.098,0.347,6.992
exam1,0.315,1.259,0.662,4.0
exam2,0.162,0.485,0.499,2.992
consult1,1.688,5.869,0.87,3.476
consult2,0.844,2.968,0.81,3.516
pharma1,0.033,0.116,0.288,3.476
pharma2,0.053,0.187,0.352,3.515
