,Wq,Lq,rho,throughput
reg1,0.064,0.254,0.396,3.992
reg2,0.043,0.125,0.294,2.89
exam1,0.345,1.378,0.668,3.99
exam2,0.16,0.462,0.487,2.888
consult1,2.592,8.91,0.895,3.414
consult2,0.716,2.552,0.811,3.39
pharma1,0.033,0.111,0.288,3.414
pharma2,0.049,0.166,0.33,3.39
