,Wq,Lq,rho,throughput
reg1,0.075,0.308,0.422,4.094
reg2,0.039,0.116,0.304,2.982
exam1,0.448,1.83,0.694,4.084
exam2,0.174,0.518,0.51,2.982
consult1,2.204,7.907,0.867,3.586
consult2,1.277,4.441,0.822,3.478
pharma1,0.03,0.109,0.286,3.586
pharma2,0.054,0.189,0.344,3.476
