,Wq,Lq,rho,throughput
reg,0.015,0.104,0.351,6.976
exam1,0.412,1.686,0.734,4.092
exam2,0.178,0.514,0.515,2.884
consult1,1.301,4.52,0.847,3.47
consult2,0.361,1.265,0.692,3.492
pharma1,0.031,0.108,0.289,3.468
pharma2,0.046,0.162,0.341,3.492
