,Wq,Lq,rho,throughput
reg1,0.063,0.25,0.4,3.944
reg2,0.051,0.159,0.304,3.094
exam1,0.238,0.938,0.628,3.944
exam2,0.204,0.63,0.534,3.094
consult1,0.055,0.198,0.439,3.578
consult2,0.033,0.113,0.387,3.456
pharma1,0.034,0.121,0.299,3.578
pharma2,0.043,0.149,0.339,3.454
