,Wq,Lq,rho,throughput
reg1,0.064,0.239,0.388,3.742
reg2,0.044,0.135,0.294,3.066
exam1,0.257,0.961,0.606,3.732
exam2,0.19,0.588,0.509,3.052
consult1,2.647,9.104,0.861,3.434
consult2,0.537,1.792,0.752,3.336
pharma1,0.034,0.116,0.277,3.434
pharma2,0.057,0.19,0.332,3.334
