,Wq,Lq,rho,throughput
reg,0.014,0.1,0.35,7.0
exam1,0.332,1.336,0.667,4.022
exam2,0.163,0.486,0.496,2.977
consult1,2.012,7.069,0.878,3.514
consult2,0.789,2.75,0.796,3.486
pharma1,0.035,0.124,0.297,3.514
pharma2,0.053,0.186,0.35,3.486
