,Wq,Lq,rho,throughput
reg,0.015,0.105,0.354,7.138
exam1,0.453,1.861,0.695,4.106
exam2,0.16,0.485,0.506,3.028
consult1,1.591,5.603,0.884,3.521
consult2,1.18,4.263,0.829,3.6
pharma1,0.036,0.126,0.294,3.52
pharma2,0.059,0.211,0.365,3.597
