,Wq,Lq,rho,throughput
reg,0.017,0.121,0.357,7.084
exam1,0.388,1.561,0.673,4.016
exam2,0.197,0.604,0.53,3.06
consult1,1.136,4.047,0.854,3.522
consult2,0.469,1.654,0.703,3.53
pharma1,0.031,0.109,0.3,3.52
pharma2,0.057,0.201,0.34,3.53
