,Wq,Lq,rho,throughput
reg,0.014,0.098,0.348,6.992
exam1,0.329,1.303,0.661,3.965
exam2,0.155,0.47,0.496,3.027
consult1,1.915,6.687,0.879,3.491
consult2,0.736,2.582,0.792,3.498
pharma1,0.034,0.119,0.291,3.491
pharma2,0.053,0.185,0.349,3.498
