,Wq,Lq,rho,throughput
reg1,0.071,0.284,0.399,4.006
reg2,0.036,0.109,0.302,2.992
exam1,0.317,1.268,0.66,4.004
exam2,0.151,0.451,0.514,2.99
consult1,0.055,0.197,0.441,3.544
consult2,0.035,0.121,0.385,3.446
pharma1,0.027,0.094,0.277,3.542
pharma2,0.061,0.211,0.354,3.446
