,Wq,Lq,rho,throughput
reg1,0.067,0.27,0.404,4.015
reg2,0.043,0.129,0.301,3.0
exam1,0.342,1.375,0.668,4.015
exam2,0.168,0.504,0.498,3.0
consult1,0.131,0.46,0.579,3.495
consult2,0.394,1.387,0.706,3.519
pharma1,0.035,0.124,0.291,3.495
pharma2,0.055,0.194,0.348,3.519
