,Wq,Lq,rho,throughput
reg,0.013,0.091,0.346,7.036
exam1,0.301,1.215,0.666,4.034
exam2,0.164,0.493,0.514,2.997
consult1,3.115,10.746,0.883,3.449
consult2,1.064,3.809,0.836,3.578
pharma1,0.03,0.105,0.28,3.449
pharma2,0.052,0.186,0.357,3.578
