,Wq,Lq,rho,throughput
reg1,0.067,0.267,0.402,3.998
reg2,0.042,0.127,0.3,3.004
exam1,0.322,1.289,0.668,3.998
exam2,0.164,0.493,0.5,3.004
consult1,1.419,4.955,0.87,3.491
consult2,0.717,2.518,0.796,3.51
pharma1,0.035,0.124,0.294,3.491
pharma2,0.056,0.198,0.353,3.51
