,Wq,Lq,rho,throughput
reg1,0.068,0.276,0.402,4.043
reg2,0.042,0.126,0.299,2.972
exam1,0.354,1.431,0.673,4.043
exam2,0.159,0.473,0.492,2.972
consult1,1.677,5.858,0.869,3.493
consult2,0.813,2.862,0.799,3.521
pharma1,0.033,0.114,0.286,3.493
pharma2,0.056,0.196,0.349,3.521
