,Wq,Lq,rho,throughput
reg,0.012,0.086,0.349,7.02
exam1,0.347,1.374,0.669,3.962
exam2,0.168,0.514,0.492,3.054
consult1,1.155,4.033,0.856,3.488
consult2,0.287,1.008,0.662,3.516
pharma1,0.033,0.116,0.292,3.488
pharma2,0.056,0.196,0.362,3.516
