,Wq,Lq,rho,throughput
reg1,0.074,0.321,0.416,4.232
reg2,0.042,0.123,0.282,2.886
exam1,0.339,1.432,0.7,4.222
exam2,0.151,0.436,0.488,2.884
consult1,2.317,8.378,0.919,3.556
consult2,0.63,2.207,0.801,3.502
pharma1,0.036,0.127,0.302,3.556
pharma2,0.053,0.186,0.35,3.5
