,Wq,Lq,rho,throughput
reg,0.014,0.101,0.351,7.013
exam1,0.349,1.388,0.668,3.974
exam2,0.171,0.52,0.507,3.039
consult1,1.672,5.879,0.879,3.516
consult2,0.703,2.456,0.79,3.495
pharma1,0.034,0.118,0.293,3.516
pharma2,0.053,0.185,0.349,3.495
